epoch,train_loss,train_acc,val_loss,val_acc
1,0.7003833435294673,58.30989436839803,0.6384835765100848,64.91754122938531
2,0.6357168727676916,64.70404400275017,0.6042534915403627,68.36581709145428
3,0.6133142367952562,66.76667291705732,0.5876880895489756,69.16541729135432
4,0.6006670363549628,67.51671979498718,0.5805753434317997,69.71514242878561
5,0.5938921271059556,68.3605225326583,0.573391252371861,69.66516741629185
6,0.5912871371322039,68.53553347084193,0.5725205481975809,70.86456771614193
7,0.5856068189892667,68.91055690980686,0.5645507781997673,71.16441779110444
8,0.5833762508812186,69.4855928495531,0.563077485305199,71.31434282858571
9,0.5797376243485027,69.7293580848803,0.5623415480370166,70.06496751624188
10,0.5780302019493753,69.92312019501219,0.5598351032003529,70.41479260369815
11,0.5817062882875917,69.05431589474343,0.557478638305359,71.41429285357322
12,0.579019995363543,69.82936433527095,0.5576805751482169,71.86406796601699
13,0.5736527785419472,70.2856428526783,0.5558097034856595,71.71414292853574
14,0.5725283133655021,70.36064754047128,0.5533246255290324,72.56371814092954
15,0.5751620376696475,70.09813113319582,0.5564970772365282,72.01399300349826
16,0.5750440569644913,70.15438464904057,0.5547465677561609,72.21389305347326
17,0.5679750984382224,70.58566160385024,0.5401577584925799,73.61319340329835
18,0.5565349624893712,71.48571785736608,0.5308123754895013,73.46326836581709
19,0.5444819530726775,72.5357834864679,0.5198972702979565,74.81259370314842
20,0.5324093454837412,73.36708544284018,0.5121546015627441,75.2623688155922
